Ciudad,Hotel,Tipo de día,Tipo de habitación,Precio por noche (JPY),Impuesto (JPY),Total por noche con impuesto (JPY)
Tokio,Shinagawa Prince Hotel (Main Tower),Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",47250,200,47450
Tokio,Shinagawa Prince Hotel (Main Tower),Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",63450,200,63650
Tokio,Shinagawa Prince Hotel (Anex Tower),Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",48600,200,48800
Tokio,Shinagawa Prince Hotel (Anex Tower),Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",75600,200,75800
Tokio,Moxy Tokyo Kinshicho,Precio único,"Habitación doble, 2 camas individuales, desayuno incluido, 1 habitación para 2 personas",60459,200,60659
Tokio,Grand Nikko Daiba,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",53095,200,53295
Tokio,Grand Nikko Daiba,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",76180,200,76380
Hakone,Tenseien Odawara Station Bekkan,Dia de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",68310,150,68460
Hakone,Tenseien Odawara Station Bekkan,Fin de semana,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",83160,150,83310
Monte Fuji,Fuji View Hotel Kawaguchiko,Precio único,"Doble moderado, con cena y desayuno, 1 habitación para 2 personas",104490,0,104490
Monte Fuji,Fuji Kawaguchiko Resort,Dia de semana,"Habitación de estilo japonés, con desayuno, 1 habitación para 2 personas",57375,0,57375
Monte Fuji,Fuji Kawaguchiko Resort,Fin de semana,"Habitación de estilo japonés, con desayuno, 1 habitación para 2 personas",78300,0,78300
Monte Fuji,Kofu Kinenbi,Precio único,"Doble estándar, con desayuno por la noche, 1 habitación para 2 personas",45900,0,45900
Monte Fuji,Kofu Kinenbi,Precio único,Doble superior o King,70200,0,70200
Kioto,Miyako Kyoto Hachijyo,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",56700,200,56900
Kioto,Miyako Kyoto Hachijyo,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",59400,200,59600
Osaka,Candeo Hotels Osaka Nanmba,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",33615,100,33715
Osaka,Candeo Hotels Osaka Nanmba,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",38475,100,38575
Osaka,Holiday Inn Express Osaka City Center,Dia de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",40230,100,40330
Osaka,Holiday Inn Express Osaka City Center,Fin de semana,"Doble Superior, con desayuno, 1 habitación para 2 personas",55080,100,55180
